KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT;POCMANDCR;NAZEVPLNY
67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0022220002200";"A";"";0;""
68;55;"Koruna Èeská (monarchistická strana Èech, Moravy a Slezska)";"Koruna Èeská (monarch.str.Èech, Moravy a Slezska)";"Koruna Èeská (monarch.strana)";"Monarchiste.cz";1;"055";"2202222222022";"A";"";0;""
69;1173;"Obèanská demokratická aliance";"Obèanská demokratická aliance";"Obèanská demokratická aliance";"ODA";1;"1173";"0222222222222";"A";"";0;""
70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0000000220020";"A";"";0;""
71;714;"Svobodní";"Svobodní";"Svobodní";"Svobodní";1;"714";"0022022222222";"A";"";0;""
72;1229;"Zmìna 2020";"Zmìna 2020";"Zmìna 2020";"Z 2020";1;"1229";"2022222222222";"A";"";0;""
73;1454;"Obèanská demokratická strana + STAROSTOVÉ A NEZÁVISLÍ a VÝCHODOÈEŠI";"ODS + STAROSTOVÉ A NEZÁVISLÍ a VÝCHODOÈEŠI";"Koalice ODS, STAN, VÈ";"ODS+STAN+VÈ";3;"053,166,770";"2222220222222";"A";"";0;""
74;687;"Obèanská demokratická strana s podporou TOP 09 a nezávislých starostù";"ODS s podporou TOP 09 a nezávislých starostù";"ODS s podp.TOP 09 a nez.star.";"ODS+TOP 09";2;"053,721";"2202222222222";"A";"";0;""
75;747;"ZaRegion";"ZaRegion";"ZaRegion";"ZaRegion";1;"747";"2222022222222";"A";"";0;""
76;1445;"Obèanská demokratická strana s podporou Svobodných a hnutí Starostové a osobnosti pro Moravu";"ODS s podporou Svobodných a hnutí SOM";"ODS s podpor. Svobodných a SOM";"ODS+Svobod.+SOM";3;"053,158,714";"2222222220222";"A";"";0;""
77;1456;"Spojenci pro kraj";"Spojenci pro kraj";"JsmePRO,LES,SNKED,Zelení,TOP09";"JP+LES+ED+Z+TOP";5;"005,129,721,795,1126";"2222022222222";"A";"";0;""
78;1471;"Zmìna pro lidi a pro krajinu";"Zmìna pro lidi a pro krajinu";"Zmìna pro lidi a pro krajinu";"Zmìna+NBPLK";2;"771,780";"2222202222222";"A";"";0;""
79;1231;"Alternativa pro nezávislé kandidáty 2020 - ANK 2020";"Alternativa pro nezávislé kandidáty 2020-ANK 2020";"Aletrnativa pro nez.kand.2020";"ANK 2020";1;"1231";"2202222222220";"A";"";0;""
80;766;"JIHOÈEŠI 2012";"JIHOÈEŠI 2012";"JIHOÈEŠI 2012";"JIH 12";1;"766";"2022222222222";"A";"";0;""
81;142;"Starostové pro kraj";"Starostové pro kraj";"Starostové pro kraj";"Starostové";1;"142";"2222222222220";"A";"";0;""
82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0000000000000";"A";"";0;""
83;1234;"Mladí pro Pardubický kraj";"Mladí pro Pardubický kraj";"Mladí pro Pardubický kraj";"MPK";1;"1234";"2222222022222";"A";"";0;""
84;1190;"Moravské zemské hnutí";"Moravské zemské hnutí";"Moravské zemské hnutí";"MZH";1;"1190";"2022222202222";"A";"";0;""
85;1444;"Pro KRAJinu";"Pro KRAJinu";"Pro KRAJinu";"Zelení+LES";2;"005,795";"2222202222222";"A";"";0;""
